,rank,artist,song,rank_last_week,peak_rank,weeks_on_chart,date
1532,33,Powfu Featuring beabadoobee,Death Bed,43,33,4,4/18/2020
1533,34,Dan + Shay & Justin Bieber,"10,000 Hours",28,4,27,4/18/2020
1534,35,DaBaby,BOP,29,11,28,4/18/2020
1535,36,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,49,36,9,4/18/2020
1536,37,Ingrid Andress,More Hearts Than Mine,44,37,15,4/18/2020
1537,38,Chris Brown Featuring Drake,No Guidance,35,5,44,4/18/2020
1538,39,Dua Lipa,Break My Heart,21,21,2,4/18/2020
1539,40,Sam Hunt,Hard To Forget,91,40,2,4/18/2020
1540,41,Demi Lovato,I Love Me,41,18,5,4/18/2020
1541,42,Jordan Davis,Slow Dance In A Parking Lot,37,37,14,4/18/2020
1542,43,YNW Melly & Juice WRLD,Suicidal,33,20,19,4/18/2020
1543,44,Surfaces,Sunday Best,52,44,6,4/18/2020
1544,45,H.E.R. Featuring YG,Slide,45,45,16,4/18/2020
1545,46,"NAV, Gunna & Travis Scott",Turks,17,17,2,4/18/2020
1546,47,The Weeknd,In Your Eyes,42,16,3,4/18/2020
1547,48,Kane Brown,Homesick,38,35,21,4/18/2020
1548,49,Russ & BIA,BEST ON EARTH,48,46,18,4/18/2020
1549,50,Luke Combs Featuring Eric Church,Does To Me,59,50,4,4/18/2020
1550,51,Carly Pearce & Lee Brice,I Hope You're Happy Now,58,51,14,4/18/2020
1551,52,Halsey,You Should Be Sad,34,26,13,4/18/2020
1552,53,Eminem Featuring Juice WRLD,Godzilla,47,3,12,4/18/2020
1553,54,Thomas Rhett Featuring Jon Pardi,Beer Can't Fix,56,54,4,4/18/2020
1554,55,Pop Smoke,Dior,54,30,8,4/18/2020
1555,56,Lil Baby,Sum 2 Prove,55,16,13,4/18/2020
1556,57,Jake Owen,Homemade,51,39,11,4/18/2020
1557,58,PARTYNEXTDOOR & Rihanna,Believe It,23,23,2,4/18/2020
1558,59,Bad Bunny,Yo Perreo Sola,53,53,4,4/18/2020
1559,60,NLE Choppa Featuring Roddy Ricch,Walk Em Down,57,57,3,4/18/2020
1560,61,BENEE Featuring Gus Dapperton,Supalonely,62,61,4,4/18/2020
1561,62,Luke Bryan,What She Wants Tonight,50,46,16,4/18/2020
1562,63,Lewis Capaldi,Before You Go,66,63,10,4/18/2020
1563,64,Rod Wave,Fuck The World,0,64,1,4/18/2020
1564,65,Diplo Presents Thomas Wesley Featuring Morgan Wallen,Heartless,68,65,11,4/18/2020
1565,66,Karol G & Nicki Minaj,Tusa,64,42,19,4/18/2020
1566,67,Rod Wave,Pray 4 Love,0,67,1,4/18/2020
1567,68,Summer Walker & Usher,Come Thru,67,42,15,4/18/2020
1568,69,Travis Denning,After A Few,78,69,2,4/18/2020
1569,70,Jhene Aiko,P*$$y Fairy (OTW),65,40,12,4/18/2020
1570,71,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",Be A Light,0,71,1,4/18/2020
1571,72,Lil Uzi Vert,Myron,63,13,4,4/18/2020
1572,73,JACKBOYS Featuring Young Thug,Out West,72,38,13,4/18/2020
1573,74,Rod Wave,Thief In The Night,0,74,1,4/18/2020
1574,75,SZA X Justin Timberlake,The Other Side,70,61,6,4/18/2020
1575,76,Future,Tycoon,0,76,1,4/18/2020
1576,77,Rod Wave,I Remember,0,77,1,4/18/2020
1577,78,Rod Wave,The Greatest,0,78,1,4/18/2020
1578,79,Alicia Keys,Underdog,69,69,3,4/18/2020
1579,80,"Lil Yachty, Drake & DaBaby",Oprah's Bank Account,74,55,5,4/18/2020
1580,81,Miranda Lambert,Bluebird,0,81,1,4/18/2020
1581,82,Megan Thee Stallion,B.I.T.C.H.,76,31,9,4/18/2020
1582,83,JP Saxe Featuring Julia Michaels,If The World Was Ending,96,83,2,4/18/2020
1583,84,Rod Wave,Ribbon In The Sky,0,84,1,4/18/2020
1584,85,Lil Baby,Emotionally Scarred,73,31,6,4/18/2020
1585,86,"Bad Bunny, Jowell & Randy & Nengo Flow",Safaera,86,81,4,4/18/2020
1586,87,Lil Uzi Vert,That Way,79,20,6,4/18/2020
1587,88,Taylor Swift,The Man,90,23,7,4/18/2020
1588,89,Kane Brown & John Legend,Last Time I Say Sorry,93,89,2,4/18/2020
1589,90,The Weeknd,After Hours,61,20,7,4/18/2020
1590,91,Dustin Lynch,Ridin' Roads,88,47,19,4/18/2020
1591,92,Lil Uzi Vert,P2,75,11,5,4/18/2020
1592,93,Kenny Chesney,Here And Now,0,93,1,4/18/2020
1593,94,Justin Bieber,Yummy,84,2,14,4/18/2020
1594,95,Rod Wave,Thug Life,0,95,1,4/18/2020
1595,96,Lil Baby & Gunna,Heatin Up,95,18,6,4/18/2020
1596,97,Noah Cyrus & Leon Bridges,July,100,91,6,4/18/2020
1597,98,Jonas Brothers,What A Man Gotta Do,94,16,12,4/18/2020
1598,99,Rod Wave,No Weakness,0,99,1,4/18/2020
1599,100,Lil Baby & 42 Dugg,Grace,82,48,6,4/18/2020
1600,1,The Weeknd,Blinding Lights,2,1,20,4/25/2020
1601,2,Drake,Toosie Slide,1,1,2,4/25/2020
1602,3,Roddy Ricch,The Box,3,1,19,4/25/2020
1603,4,Dua Lipa,Don't Start Now,4,2,24,4/25/2020
1604,5,Doja Cat Featuring Nicki Minaj,Say So,8,5,15,4/25/2020
1605,6,Harry Styles,Adore You,7,6,19,4/25/2020
1606,7,Post Malone,Circles,6,1,33,4/25/2020
1607,8,Future Featuring Drake,Life Is Good,5,2,14,4/25/2020
1608,9,Justin Bieber Featuring Quavo,Intentions,9,8,10,4/25/2020
1609,10,Billie Eilish,Everything I Wanted,10,8,23,4/25/2020
1610,11,Lewis Capaldi,Someone You Loved,11,1,49,4/25/2020
1611,12,Camila Cabello Featuring DaBaby,My Oh My,13,12,19,4/25/2020
1612,13,Maren Morris,The Bones,12,12,30,4/25/2020
1613,14,Megan Thee Stallion,Savage,14,14,5,4/25/2020
1614,15,Maroon 5,Memories,15,2,30,4/25/2020
1615,16,Lil Mosey,Blueberry Faygo,18,16,10,4/25/2020
1616,17,Gabby Barrett Featuring Charlie Puth,I Hope,20,17,16,4/25/2020
1617,18,Blake Shelton Duet With Gwen Stefani,Nobody But You,24,18,14,4/25/2020
1618,19,Arizona Zervas,Roxanne,16,4,24,4/25/2020
1619,20,blackbear,Hot Girl Bummer,17,11,31,4/25/2020
1620,21,The Weeknd,Heartless,19,1,21,4/25/2020
1621,22,Trevor Daniel,Falling,23,22,22,4/25/2020
1622,23,twenty one pilots,Level Of Concern,0,23,1,4/25/2020
1623,24,Tones And I,Dance Monkey,21,4,28,4/25/2020
1624,25,Morgan Wallen,Chasin' You,27,25,12,4/25/2020
1625,26,SAINt JHN,Roses,30,26,4,4/25/2020
1626,27,Mustard & Roddy Ricch,Ballin',26,11,39,4/25/2020
1627,28,Rod Wave,Heart On Ice,25,25,23,4/25/2020
1628,29,Roddy Ricch Featuring Mustard,High Fashion,31,20,16,4/25/2020
1629,30,Powfu Featuring beabadoobee,Death Bed,33,30,5,4/25/2020
1630,31,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),28,26,21,4/25/2020
1631,32,Ingrid Andress,More Hearts Than Mine,37,32,16,4/25/2020
1632,33,Lady Gaga,Stupid Love,32,5,7,4/25/2020
1633,34,Dan + Shay & Justin Bieber,"10,000 Hours",34,4,28,4/25/2020
1634,35,Dua Lipa,Break My Heart,39,21,3,4/25/2020
1635,36,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,36,36,10,4/25/2020
1636,37,Brett Young,Catch,29,29,12,4/25/2020
1637,38,Surfaces,Sunday Best,44,38,7,4/25/2020
1638,39,DaBaby,BOP,35,11,29,4/25/2020
1639,40,Chris Brown Featuring Drake,No Guidance,38,5,45,4/25/2020
1640,41,Demi Lovato,I Love Me,41,18,6,4/25/2020
1641,42,Carly Pearce & Lee Brice,I Hope You're Happy Now,51,42,15,4/25/2020
1642,43,H.E.R. Featuring YG,Slide,45,43,17,4/25/2020
1643,44,Thomas Rhett Featuring Jon Pardi,Beer Can't Fix,54,44,5,4/25/2020
1644,45,The Weeknd,In Your Eyes,47,16,4,4/25/2020
1645,46,Pop Smoke,Dior,55,30,9,4/25/2020
1646,47,YNW Melly & Juice WRLD,Suicidal,43,20,20,4/25/2020
1647,48,Luke Combs Featuring Eric Church,Does To Me,50,48,5,4/25/2020
1648,49,Sam Hunt,Hard To Forget,40,40,3,4/25/2020
1649,50,Jordan Davis,Slow Dance In A Parking Lot,42,37,15,4/25/2020
1650,51,DaBaby,Find My Way,22,22,2,4/25/2020
1651,52,Russ & BIA,BEST ON EARTH,49,46,19,4/25/2020
1652,53,Lil Baby,Sum 2 Prove,56,16,14,4/25/2020
1653,54,Tory Lanez,Stupid Again,0,54,1,4/25/2020
1654,55,Travis Denning,After A Few,69,55,3,4/25/2020
1655,56,Eminem Featuring Juice WRLD,Godzilla,53,3,13,4/25/2020
1656,57,Lewis Capaldi,Before You Go,63,57,11,4/25/2020
1657,58,BENEE Featuring Gus Dapperton,Supalonely,61,58,5,4/25/2020
1658,59,Selena Gomez,Boyfriend,0,59,1,4/25/2020
1659,60,NLE Choppa Featuring Roddy Ricch,Walk Em Down,60,57,4,4/25/2020
1660,61,PARTYNEXTDOOR & Rihanna,Believe It,58,23,3,4/25/2020
1661,62,Bad Bunny,Yo Perreo Sola,59,53,5,4/25/2020
1662,63,"NAV, Gunna & Travis Scott",Turks,46,17,3,4/25/2020
1663,64,Tory Lanez,Broke In A Minute,0,64,1,4/25/2020
1664,65,Halsey,You Should Be Sad,52,26,14,4/25/2020
1665,66,Summer Walker & Usher,Come Thru,68,42,16,4/25/2020
1666,67,Jake Owen,Homemade,57,39,12,4/25/2020
1667,68,Diplo Presents Thomas Wesley Featuring Morgan Wallen,Heartless,65,65,12,4/25/2020
1668,69,Karol G & Nicki Minaj,Tusa,66,42,20,4/25/2020
1669,70,Jhene Aiko,P*$$y Fairy (OTW),70,40,13,4/25/2020
1670,71,JACKBOYS Featuring Young Thug,Out West,73,38,14,4/25/2020
1671,72,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",Be A Light,71,71,2,4/25/2020
1672,73,JP Saxe Featuring Julia Michaels,If The World Was Ending,83,73,3,4/25/2020
1673,74,Lil Uzi Vert,Myron,72,13,5,4/25/2020
1674,75,Miranda Lambert,Bluebird,81,75,2,4/25/2020
1675,76,SZA X Justin Timberlake,The Other Side,75,61,7,4/25/2020
1676,77,Luke Bryan,What She Wants Tonight,62,46,17,4/25/2020
1677,78,Arcangel x Sech,Sigues Con El,0,78,1,4/25/2020
1678,79,Kenny Chesney,Here And Now,93,79,2,4/25/2020
1679,80,Maddie & Tae,Die From A Broken Heart,0,80,1,4/25/2020
1680,81,Alicia Keys,Underdog,79,69,4,4/25/2020
1681,82,Lil Baby,Emotionally Scarred,85,31,7,4/25/2020
1682,83,Lil Uzi Vert,That Way,87,20,7,4/25/2020
1683,84,Polo G,DND,0,84,1,4/25/2020
1684,85,Noah Cyrus & Leon Bridges,July,97,85,7,4/25/2020
1685,86,"Bad Bunny, Jowell & Randy & Nengo Flow",Safaera,86,81,5,4/25/2020
1686,87,Dustin Lynch,Ridin' Roads,91,47,20,4/25/2020
1687,88,Taylor Swift,The Man,88,23,8,4/25/2020
1688,89,"Lil Yachty, Drake & DaBaby",Oprah's Bank Account,80,55,6,4/25/2020
1689,90,"G Herbo Featuring Chance The Rapper, Juice WRLD & Lil Uzi Vert",PTSD,0,38,3,4/25/2020
1690,91,Lil Baby & 42 Dugg,Grace,100,48,7,4/25/2020
1691,92,Lil Uzi Vert,P2,92,11,6,4/25/2020
1692,93,Scotty McCreery,In Between,0,93,1,4/25/2020
1693,94,Justin Bieber,Yummy,94,2,15,4/25/2020
1694,95,Megan Thee Stallion,Captain Hook,0,74,2,4/25/2020
1695,96,Regard,Ride It.,0,96,1,4/25/2020
1696,97,Megan Thee Stallion,B.I.T.C.H.,82,31,10,4/25/2020
1697,98,Rod Wave,Girl Of My Dreams,0,98,1,4/25/2020
1698,99,Jhene Aiko Featuring H.E.R.,B.S.,0,24,5,4/25/2020
1699,100,Doja Cat,Boss Bitch,0,100,1,4/25/2020
1700,1,The Weeknd,Blinding Lights,1,1,21,5/2/2020
1701,2,Drake,Toosie Slide,2,1,3,5/2/2020
1702,3,Roddy Ricch,The Box,3,1,20,5/2/2020
1703,4,Dua Lipa,Don't Start Now,4,2,25,5/2/2020
1704,5,Doja Cat Featuring Nicki Minaj,Say So,5,5,16,5/2/2020
1705,6,Post Malone,Circles,7,1,34,5/2/2020
1706,7,Harry Styles,Adore You,6,6,20,5/2/2020
1707,8,Justin Bieber Featuring Quavo,Intentions,9,8,11,5/2/2020
1708,9,DaBaby Featuring Roddy Ricch,Rockstar,0,9,1,5/2/2020
1709,10,Future Featuring Drake,Life Is Good,8,2,15,5/2/2020
1710,11,Billie Eilish,Everything I Wanted,10,8,24,5/2/2020
1711,12,Camila Cabello Featuring DaBaby,My Oh My,12,12,20,5/2/2020
1712,13,Maren Morris,The Bones,13,12,31,5/2/2020
1713,14,Megan Thee Stallion,Savage,14,14,6,5/2/2020
1714,15,Lewis Capaldi,Someone You Loved,11,1,50,5/2/2020
1715,16,Gabby Barrett Featuring Charlie Puth,I Hope,17,16,17,5/2/2020
1716,17,DaBaby Featuring YoungBoy Never Broke Again,Jump,0,17,1,5/2/2020
1717,18,Maroon 5,Memories,15,2,31,5/2/2020
1718,19,Lil Mosey,Blueberry Faygo,16,16,11,5/2/2020
1719,20,Blake Shelton Duet With Gwen Stefani,Nobody But You,18,18,15,5/2/2020
1720,21,Morgan Wallen,Chasin' You,25,21,13,5/2/2020
1721,22,SAINt JHN,Roses,26,22,5,5/2/2020
1722,23,Trevor Daniel,Falling,22,22,23,5/2/2020
1723,24,blackbear,Hot Girl Bummer,20,11,32,5/2/2020
1724,25,Roddy Ricch Featuring Mustard,High Fashion,29,20,17,5/2/2020
1725,26,Arizona Zervas,Roxanne,19,4,25,5/2/2020
1726,27,Powfu Featuring beabadoobee,Death Bed,30,27,6,5/2/2020
1727,28,The Weeknd,Heartless,21,1,22,5/2/2020
1728,29,Rod Wave,Heart On Ice,28,25,24,5/2/2020
1729,30,Ingrid Andress,More Hearts Than Mine,32,30,17,5/2/2020
1730,31,Tones And I,Dance Monkey,24,4,29,5/2/2020
1731,32,Mustard & Roddy Ricch,Ballin',27,11,40,5/2/2020
1732,33,DaBaby,Find My Way,51,22,3,5/2/2020
1733,34,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),31,26,22,5/2/2020
1734,35,Playboi Carti,@ MEH,0,35,1,5/2/2020
1735,36,Sam Smith & Demi Lovato,I'm Ready,0,36,1,5/2/2020
1736,37,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,36,36,11,5/2/2020
1737,38,Surfaces,Sunday Best,38,38,8,5/2/2020
1738,39,Dua Lipa,Break My Heart,35,21,4,5/2/2020
1739,40,Luke Combs Featuring Eric Church,Does To Me,48,40,6,5/2/2020
1740,41,Dan + Shay & Justin Bieber,"10,000 Hours",34,4,29,5/2/2020
1741,42,Demi Lovato,I Love Me,41,18,7,5/2/2020
1742,43,DaBaby,BOP,39,11,30,5/2/2020
1743,44,DaBaby Featuring Quavo,PICK UP,0,44,1,5/2/2020
1744,45,twenty one pilots,Level Of Concern,23,23,2,5/2/2020
1745,46,Lady Gaga,Stupid Love,33,5,8,5/2/2020
1746,47,Carly Pearce & Lee Brice,I Hope You're Happy Now,42,42,16,5/2/2020
1747,48,Chris Brown Featuring Drake,No Guidance,40,5,46,5/2/2020
1748,49,Sam Hunt,Hard To Forget,49,40,4,5/2/2020
1749,50,DaBaby Featuring Ashanti & Megan Thee Stallion,NASTY,0,50,1,5/2/2020
1750,51,Thomas Rhett Featuring Jon Pardi,Beer Can't Fix,44,44,6,5/2/2020
1751,52,Brett Young,Catch,37,29,13,5/2/2020
1752,53,DaBaby Featuring Future & jetsonmade,LIGHTSKIN SH*T,0,53,1,5/2/2020
1753,54,Pop Smoke,Dior,46,30,10,5/2/2020
1754,55,The Weeknd,In Your Eyes,45,16,5,5/2/2020
1755,56,Travis Denning,After A Few,55,55,4,5/2/2020
1756,57,Lewis Capaldi,Before You Go,57,57,12,5/2/2020
1757,58,H.E.R. Featuring YG,Slide,43,43,18,5/2/2020
1758,59,BENEE Featuring Gus Dapperton,Supalonely,58,58,6,5/2/2020
1759,60,Lil Baby,Sum 2 Prove,53,16,15,5/2/2020
1760,61,Morgan Wallen,More Than My Hometown,0,61,1,5/2/2020
1761,62,Russ & BIA,BEST ON EARTH,52,46,20,5/2/2020
1762,63,DaBaby,CAN'T STOP,0,63,1,5/2/2020
1763,64,DaBaby,BLAME IT ON BABY,0,64,1,5/2/2020
1764,65,NLE Choppa Featuring Roddy Ricch,Walk Em Down,60,57,5,5/2/2020
1765,66,Eminem Featuring Juice WRLD,Godzilla,56,3,14,5/2/2020
1766,67,Diplo Presents Thomas Wesley Featuring Morgan Wallen,Heartless,68,65,13,5/2/2020
1767,68,Bad Bunny,Yo Perreo Sola,62,53,6,5/2/2020
1768,69,DaBaby,SAD SHIT,0,69,1,5/2/2020
1769,70,Karol G & Nicki Minaj,Tusa,69,42,21,5/2/2020
1770,71,DaBaby Featuring A Boogie Wit da Hoodie & London On Da Track,DROP,0,71,1,5/2/2020
1771,72,JACKBOYS Featuring Young Thug,Out West,71,38,15,5/2/2020
1772,73,Jordan Davis,Slow Dance In A Parking Lot,50,37,16,5/2/2020
1773,74,DaBaby,TALK ABOUT IT,0,74,1,5/2/2020
1774,75,PARTYNEXTDOOR & Rihanna,Believe It,61,23,4,5/2/2020
1775,76,Jhene Aiko,P*$$y Fairy (OTW),70,40,14,5/2/2020
1776,77,JP Saxe Featuring Julia Michaels,If The World Was Ending,73,73,4,5/2/2020
1777,78,"NAV, Gunna & Travis Scott",Turks,63,17,4,5/2/2020
1778,79,Summer Walker & Usher,Come Thru,66,42,17,5/2/2020
1779,80,Halsey,You Should Be Sad,65,26,15,5/2/2020
1780,81,Jake Owen,Homemade,67,39,13,5/2/2020
1781,82,Miranda Lambert,Bluebird,75,75,3,5/2/2020
1782,83,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",Be A Light,72,71,3,5/2/2020
1783,84,Lil Baby,Emotionally Scarred,82,31,8,5/2/2020
1784,85,DaBaby,CHAMPION,0,85,1,5/2/2020
1785,86,Kelly Clarkson,I Dare You,0,86,1,5/2/2020
1786,87,Kenny Chesney,Here And Now,79,79,3,5/2/2020
1787,88,Lil Uzi Vert,Myron,74,13,6,5/2/2020
1788,89,Scotty McCreery,In Between,93,89,2,5/2/2020
1789,90,Tory Lanez,Broke In A Minute,64,64,2,5/2/2020
1790,91,Lil Uzi Vert,That Way,83,20,8,5/2/2020
1791,92,Don Toliver,After Party,0,92,1,5/2/2020
1792,93,Noah Cyrus & Leon Bridges,July,85,85,8,5/2/2020
1793,94,Maddie & Tae,Die From A Broken Heart,80,80,2,5/2/2020
1794,95,Regard,Ride It.,96,95,2,5/2/2020
1795,96,Megan Thee Stallion,Captain Hook,95,74,3,5/2/2020
1796,97,Keith Urban,God Whispered Your Name,0,97,1,5/2/2020
1797,98,"G Herbo Featuring Chance The Rapper, Juice WRLD & Lil Uzi Vert",PTSD,90,38,4,5/2/2020
1798,99,"Bad Bunny, Jowell & Randy & Nengo Flow",Safaera,86,81,6,5/2/2020
1799,100,Rod Wave,Girl Of My Dreams,98,98,2,5/2/2020
1800,1,"THE SCOTTS, Travis Scott & Kid Cudi",The Scotts,0,1,1,5/9/2020
1801,2,The Weeknd,Blinding Lights,1,1,22,5/9/2020
1802,3,Drake,Toosie Slide,2,1,4,5/9/2020
1803,4,Megan Thee Stallion,Savage,14,4,7,5/9/2020
1804,5,Roddy Ricch,The Box,3,1,21,5/9/2020
1805,6,Doja Cat Featuring Nicki Minaj,Say So,5,5,17,5/9/2020
1806,7,Dua Lipa,Don't Start Now,4,2,26,5/9/2020
1807,8,Post Malone,Circles,6,1,35,5/9/2020
1808,9,Justin Bieber Featuring Quavo,Intentions,8,8,12,5/9/2020
1809,10,Harry Styles,Adore You,7,6,21,5/9/2020
1810,11,Juice WRLD,Righteous,0,11,1,5/9/2020
1811,12,Future Featuring Drake,Life Is Good,10,2,16,5/9/2020
1812,13,Camila Cabello Featuring DaBaby,My Oh My,12,12,21,5/9/2020
1813,14,DaBaby Featuring Roddy Ricch,Rockstar,9,9,2,5/9/2020
1814,15,Maren Morris,The Bones,13,12,32,5/9/2020
1815,16,Billie Eilish,Everything I Wanted,11,8,25,5/9/2020
1816,17,Lewis Capaldi,Someone You Loved,15,1,51,5/9/2020
1817,18,Blake Shelton Duet With Gwen Stefani,Nobody But You,20,18,16,5/9/2020
1818,19,Gabby Barrett Featuring Charlie Puth,I Hope,16,16,18,5/9/2020
1819,20,Lil Mosey,Blueberry Faygo,19,16,12,5/9/2020
1820,21,Maroon 5,Memories,18,2,32,5/9/2020
1821,22,Morgan Wallen,Chasin' You,21,21,14,5/9/2020
1822,23,SAINt JHN,Roses,22,22,6,5/9/2020
1823,24,Trevor Daniel,Falling,23,22,24,5/9/2020
1824,25,Roddy Ricch Featuring Mustard,High Fashion,25,20,18,5/9/2020
1825,26,Powfu Featuring beabadoobee,Death Bed,27,26,7,5/9/2020
1826,27,blackbear,Hot Girl Bummer,24,11,33,5/9/2020
1827,28,Surfaces,Sunday Best,38,28,9,5/9/2020
1828,29,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),34,26,23,5/9/2020
1829,30,Luke Combs Featuring Eric Church,Does To Me,40,30,7,5/9/2020
1830,31,Rod Wave,Heart On Ice,29,25,25,5/9/2020
1831,32,Mustard & Roddy Ricch,Ballin',32,11,41,5/9/2020
1832,33,Arizona Zervas,Roxanne,26,4,26,5/9/2020
1833,34,Tones And I,Dance Monkey,31,4,30,5/9/2020
1834,35,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,37,35,12,5/9/2020
1835,36,Dua Lipa,Break My Heart,39,21,5,5/9/2020
1836,37,The Weeknd,Heartless,28,1,23,5/9/2020
1837,38,Travis Scott,HIGHEST IN THE ROOM,0,1,22,5/9/2020
1838,39,Carly Pearce & Lee Brice,I Hope You're Happy Now,47,39,17,5/9/2020
1839,40,Thomas Rhett Featuring Jon Pardi,Beer Can't Fix,51,40,7,5/9/2020
1840,41,twenty one pilots,Level Of Concern,45,23,3,5/9/2020
1841,42,Demi Lovato,I Love Me,42,18,8,5/9/2020
1842,43,Ingrid Andress,More Hearts Than Mine,30,30,18,5/9/2020
1843,44,Travis Denning,After A Few,56,44,5,5/9/2020
1844,45,Lil Baby,All In,0,45,1,5/9/2020
1845,46,Dan + Shay & Justin Bieber,"10,000 Hours",41,4,30,5/9/2020
1846,47,Sam Hunt,Hard To Forget,49,40,5,5/9/2020
1847,48,BENEE Featuring Gus Dapperton,Supalonely,59,48,7,5/9/2020
1848,49,Travis Scott,Goosebumps,0,32,35,5/9/2020
1849,50,Lewis Capaldi,Before You Go,57,50,13,5/9/2020
1850,51,The Weeknd,In Your Eyes,55,16,6,5/9/2020
1851,52,Pop Smoke,Dior,54,30,11,5/9/2020
1852,53,Lil Baby,Sum 2 Prove,60,16,16,5/9/2020
1853,54,H.E.R. Featuring YG,Slide,58,43,19,5/9/2020
1854,55,Brett Young,Catch,52,29,14,5/9/2020
1855,56,NLE Choppa Featuring Roddy Ricch,Walk Em Down,65,56,6,5/9/2020
1856,57,Diplo Presents Thomas Wesley Featuring Morgan Wallen,Heartless,67,57,14,5/9/2020
1857,58,DaBaby Featuring YoungBoy Never Broke Again,Jump,17,17,2,5/9/2020
1858,59,JP Saxe Featuring Julia Michaels,If The World Was Ending,77,59,5,5/9/2020
1859,60,JACKBOYS Featuring Young Thug,Out West,72,38,16,5/9/2020
1860,61,Lady Gaga,Stupid Love,46,5,9,5/9/2020
1861,62,Bad Bunny,Yo Perreo Sola,68,53,7,5/9/2020
1862,63,Sam Smith & Demi Lovato,I'm Ready,36,36,2,5/9/2020
1863,64,Jhene Aiko,P*$$y Fairy (OTW),76,40,15,5/9/2020
1864,65,Lil Uzi Vert,Sasuke,0,65,1,5/9/2020
1865,66,Eminem Featuring Juice WRLD,Godzilla,66,3,15,5/9/2020
1866,67,DaBaby,Find My Way,33,22,4,5/9/2020
1867,68,Kane Brown,Cool Again,0,68,1,5/9/2020
1868,69,PARTYNEXTDOOR & Rihanna,Believe It,75,23,5,5/9/2020
1869,70,Miranda Lambert,Bluebird,82,70,4,5/9/2020
1870,71,Lil Baby,Emotionally Scarred,84,31,9,5/9/2020
1871,72,Halsey,You Should Be Sad,80,26,16,5/9/2020
1872,73,Kenny Chesney,Here And Now,87,73,4,5/9/2020
1873,74,"NAV, Gunna & Travis Scott",Turks,78,17,5,5/9/2020
1874,75,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",Be A Light,83,71,4,5/9/2020
1875,76,Jordan Davis,Slow Dance In A Parking Lot,73,37,17,5/9/2020
1876,77,Summer Walker & Usher,Come Thru,79,42,18,5/9/2020
1877,78,Don Toliver,After Party,92,78,2,5/9/2020
1878,79,Jake Owen,Homemade,81,39,14,5/9/2020
1879,80,Regard,Ride It.,95,80,3,5/9/2020
1880,81,Keith Urban,God Whispered Your Name,97,81,2,5/9/2020
1881,82,Scotty McCreery,In Between,89,82,3,5/9/2020
1882,83,YoungBoy Never Broke Again,Ain't Easy,0,83,1,5/9/2020
1883,84,StaySolidRocky,Party Girl,0,84,1,5/9/2020
1884,85,Maddie & Tae,Die From A Broken Heart,94,80,3,5/9/2020
1885,86,YoungBoy Never Broke Again,Diamonds,0,86,1,5/9/2020
1886,87,Lil Uzi Vert,Myron,88,13,7,5/9/2020
1887,88,Noah Cyrus & Leon Bridges,July,93,85,9,5/9/2020
1888,89,Megan Thee Stallion,Captain Hook,96,74,4,5/9/2020
1889,90,YoungBoy Never Broke Again Featuring Sherhonda Gaulden,Bout My Business,0,90,1,5/9/2020
1890,91,Lil Uzi Vert,That Way,91,20,9,5/9/2020
1891,92,YoungBoy Never Broke Again,Rough Ryder,0,92,1,5/9/2020
1892,93,Jhene Aiko Featuring H.E.R.,B.S.,0,24,6,5/9/2020
1893,94,Alicia Keys,Underdog,0,69,5,5/9/2020
1894,95,Florida Georgia Line,I Love My Country,0,81,2,5/9/2020
1895,96,DaBaby Featuring Ashanti & Megan Thee Stallion,NASTY,50,50,2,5/9/2020
1896,97,Carrie Underwood,Drinking Alone,0,97,1,5/9/2020
1897,98,"G Herbo Featuring Chance The Rapper, Juice WRLD & Lil Uzi Vert",PTSD,98,38,5,5/9/2020
1898,99,YoungBoy Never Broke Again Featuring DaBaby,Thug Of Spades,0,99,1,5/9/2020
1899,100,"Bad Bunny, Jowell & Randy & Nengo Flow",Safaera,99,81,7,5/9/2020
1900,1,Doja Cat Featuring Nicki Minaj,Say So,6,1,18,5/16/2020
1901,2,Megan Thee Stallion,Savage,4,2,8,5/16/2020
1902,3,The Weeknd,Blinding Lights,2,1,23,5/16/2020
1903,4,Drake,Toosie Slide,3,1,5,5/16/2020
1904,5,Roddy Ricch,The Box,5,1,22,5/16/2020
1905,6,Dua Lipa,Don't Start Now,7,2,27,5/16/2020
1906,7,Drake Featuring Playboi Carti,Pain 1993,0,7,1,5/16/2020
1907,8,Post Malone,Circles,8,1,36,5/16/2020
1908,9,DaBaby Featuring Roddy Ricch,Rockstar,14,9,3,5/16/2020
